Aliment,Energie (kJ/100 g),Energie(kcal/100 g),Eau (g/100 g),Protéines (g/100 g),Glucides (g/100 g),Lipides (g/100 g),Sucres (g/100 g),Fructose (g/100 g),Galactose (g/100 g),Glucose (g/100 g),Lactose (g/100 g),Maltose (g/100 g),Saccharose (g/100 g),Autres sucres,Amidon (g/100 g),Fibres alimentaires (g/100 g),Polyols totaux (g/100 g),Cendres (g/100 g),Alcool (g/100 g),Acides organiques (g/100 g),AG saturés (g/100 g),AG monoinsaturés (g/100 g),AG polyinsaturés (g/100 g),AG butyrique (g/100 g),AG caproïque (g/100 g),AG  caprylique (g/100 g),AG caprique (g/100 g),AG laurique (g/100 g),AG  myristique (g/100 g),AG  palmitique (g/100 g),AG stéarique (g/100 g),AG oléique (g/100 g),AG linoléique (g/100 g),AG alphalinolénique (g/100 g),AG arachidonique (g/100 g),AG EPA (g/100 g),AG  DHA (g/100 g),Cholestérol (mg/100 g),Sel chlorure de sodium (g/100 g),Calcium (mg/100 g),Chlorure (mg/100 g),Cuivre (mg/100 g),Fer (mg/100 g),Iode (µg/100 g),Magnésium (mg/100 g),Manganèse (mg/100 g),Phosphore (mg/100 g),Potassium (mg/100 g),Sélénium (µg/100 g),Sodium (mg/100 g),Zinc (mg/100 g),Rétinol (µg/100 g),BetaCarotène (µg/100 g),Vitamine D (µg/100 g),Vitamine E (mg/100 g),Vitamine K (µg/100 g),Vitamine C (mg/100 g),Vitamine B1 ou Thiamine (mg/100 g),Vitamine B2 ou Riboflavine (mg/100 g),Vitamine B3 ou Niacine (mg/100 g),Vitamine B5 ou Acide pantothénique (mg/100 g),Vitamine B6 (mg/100 g),Vitamine B9 ou Folates totaux (µg/100 g),Vitamine B12 (µg/100 g)
LE CHOCOLAT SAÏD TABLETTE CHOCOLAT BLANC(Saida),2351.408,562,,"6,9g","39,9g","39,05g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAESTRO MINI NOIR(Saida),2380.696,569,,5g,"54,4g","39,2g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENSATION NOIR(Saida),2380.696,569,,5g,"54,4g","39,2g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYTHIC SENSATION NOIR(Saida),2380.696,569,,5g,"54,4g","39,2g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRÈME À TARTINER NOIRE(Saida),2384.88,570,,"2,96g","49,01g","40,53g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA CRÈME À TARTINER SAÏD(Saida),2389.064,571,,"4,2g","53,6g","37,8g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA CRÈME À TARTINER SAÏD(Saida),2389.064,571,,"4,2g","53,6g","37,8g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENSATION LAIT AMANDES(Saida),2393.248,572,,"10,3g","49,5g",37g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENSATION LAIT NOISETTES(Saida),2401.616,574,,"9,6g","50,8g","36,9g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LE CHOCOLAT SAÏD TABLETTES NOISETTES(Saida),2401.616,574,,"9,6g","50,8g","36,9g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIS NOISETTES(Saida),2401.616,574,,6g,"50,8g","36,99g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROUSTINA CAPPUCCINO 100G(Saida),2430.904,581,,"2,71g","51,1g","40,6g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROUSTINA CAPPUCCINO 33G(Saida),2430.904,581,,"2,71g","51,1g","40,6g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LE CHOCOLAT SAÏD TABLETTES CROQUANT(Saida),2435.088,582,,"5,9g","55,8g","39,3g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DÉGUSTATION NOIR(Saida),2468.56,590,,7g,30g,49g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENSATION NOIR NOISETTES(Saida),2585.712,618,,"12,9g","40,7g","44,8g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOURMAND CHOCOLAT NOIR FOURRÉ AU GIANDUJA(Saida),2220.36512,530.68,,"9,41g","43,87g","38,42g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREAK KIDS VANILLE(Saida),1426.744,341,,"4,3g","53,2g","12,3g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEIGNET FRUITS DES BOIS(Saida),1491.84704,356.56 ,,"4,76 g","47,24 g","16,47 g","29,54 g",,,,,,,,,,,,,,"5,83 g",,,,,,,,,,,,,,,,,,"0,126 g",,,,,,,,,,,,,,,,,,,,,,,,,
MUFFIN ABRICOT(Saida),1509.29432,360.73 ,,"5,57 g","52,20 g","14,41 g","33,17 g",,,,,,,,,,,,,,"6,52 g",,,,,,,,,,,,,,,,,,"0,216 g",,,,,,,,,,,,,,,,,,,,,,,,,
MUFFIN FRAISE(Saida),1509.29432,360.73 ,,"5,57 g","52,20 g","14,41 g","33,17 g",,,,,,,,,,,,,,"6,52 g",,,,,,,,,,,,,,,,,,"0,216 g",,,,,,,,,,,,,,,,,,,,,,,,,
SSE CACAOTÉ(Saida),1539.712,368,,"7,83 g","60,98 g","10,36 g","23,62 g",,,,,,,,,,,,,,"5,3 g",,,,,,,,,,,,,,,,,,"0,216 g",,,,,,,,,,,,,,,,,,,,,,,,,
CHOCOLINE(Saida),1554.7744,371.6,,"4,6g","51,15g","16,5g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEIGNET SAÏDA(Saida),1556.32248,371.97 ,,"5,23 g","42,38 g","20,15 g","24,54 g",,,,,,,,,,,,,,"6,23 g",,,,,,,,,,,,,,,,,,"0,084 g",,,,,,,,,,,,,,,,,,,,,,,,,
FALFOUL DINOSAURES(Saida),1560.632,373,,"0,37g","93,15g","0,1g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAÏDA SUPER EXTRA(Saida),1652.68,395,,"6,1g","68,8g","10,6g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NATURE AU BEURRE(Saida),1652.68,395,,"6,83g","59,64g","13,61g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUFFIN SAÏDA(Saida),1664.56256,397.84 ,,"6,00 g","52,55 g","23,15 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,269 g",,,,,,,,,,,,,,,,,,,,,,,,,
BROWNIE SAÏDA(Saida),1684.93864,402.71 ,,"5,29 g","46,87 g","27,64 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,279 g",,,,,,,,,,,,,,,,,,,,,,,,,
SAÏDA AUX 6 CÉRÉALES(Saida),1711.256,409,,"6,3g","62,3g",15g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARTELETTES SAÏDA FRAMBOISE(Saida),1916.272,458,,"4,8g","68,3g",17g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISCUITS TRADITION KAAK(Saida),1933.008,462,,"6,5g",65g,"19,6g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRINCE FOURRÉ CHOCOLAT(Saida),1981.124,473.5,,"4,9g","63,3g","22,3g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOFFEE-NOIX DE COCO(Saida),2006.81376,479.64,,"4,05g","59,44g","28,96g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOKIES CACAOTÉS AUX PÉPITES DE CHOCOLAT(Saida),2071.08,495,,"6,73 g","60,29 g","24,58 g","34,77 g",,,,,,,,,,,,,,"14,51 g",,,,,,,,,,,,,,,,,,"0,139 g",,,,,,,,,,,,,,,,,,,,,,,,,
GAUFRETTES SAÏDA NOISETTES (Saida),2117.104,506,,"4,3g","63,4g","29,6g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAUFRETTES SAÏDA CITRON (Saida),2150.576,514,,"4,1g","63,6g","29,8g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROUSTINA CHOCOLAT 33G (Saida),2163.128,517,,"3,41g","54,8g","31,5g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRÊPES D'OR (Saida),2171.496,519,,"8,18 g","62,55 g","26,22 g","49,11 g",,,,,,,,,,,,,,"17,94 g",,,,,,,,,,,,,,,,,,"0,150 g",,,,,,,,,,,,,,,,,,,,,,,,,
MAESTRO CLUB NOISETTES(Saida),2188.232,523,,7g,54g,33g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROUSTINA NOISETTES 100G(Saida),2242.624,536,,"4,43g",55g,33g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENSATION LAIT(Saida),2271.912,543,,"8,9g","55,6g","32,8g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYTHIC SENSATION LAIT(Saida),2271.912,543,,"8,9g","55,6g","32,8g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DÉGUSTATION NOIR ET ORANGE(Saida),2289.4848,547.2,,"7,3g","57,4g",35g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAESTRO CLUB CAPPUCCINO(Saida),2288.648,547,,5g,57g,134g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAUCHO CHEWING-GUM(Saida),2293.2504,548.10,,"3,93g","59,57g","32,68g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAESTRO NAPOLITAINS NOIR(Saida),2380.696,569,,5g,"54,4g","39,2g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIS CROQUANT(Saida),2435.088,582,,"5,9g","58,8g","39,3g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYTHIC SENSATION NOIR NOISETTES(Saida),2585.712,618,,"12,9g","40,7g","44,8g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LES TRIANGLES PRÉSIDENT(Saida),1093.6976,261.4 ,,"9,5 g",5g,"22,6g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LES CARRÉS PRÉSIDENT(Saida),1286.9984,307.60 ,,"8,5g","0,18g","8,5g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LES SLICES PRÉSIDENT - BURGER CHEDDAR(Saida),1029.264,246,,16g,5g,18g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LES SLICES PRÉSIDENT - PIZZA MOZZARELLA(Saida),1029.264,246,,16g,5g,18g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LES RÂPÉS PRÉSIDENT - A L’EMMENTAL(Saida),1435.112,343,,24g,1g,27g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LES RÂPÉS PRÉSIDENT - SPÉCIAL PIZZA(Saida),1435.112,343,,24g,1g,27g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LES RÂPÉS PRÉSIDENT - SPÉCIAL PÂTES(Saida),1435.112,343,,24g,1g,27g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LES RÂPÉS PRÉSIDENT - SPÉCIAL GRATIN(Saida),1435.112,343,,24g,1g,27g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LES RÂPÉS PRÉSIDENT - SPÉCIAL TAJINE(Saida),1435.112,343,,24g,1g,27g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRÉSIDENT À TARTINER - FRAIDOUX(Saida),853.536,204,,"5,5g",5g,18g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRÉSIDENT À TARTINER - FRAIDOUX ENRICHI EN CALCIUM ET EN VITAMINE D(Saida),845.168,202,,56g,4g,18g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRÉSIDENT À TARTINER - RONDELÉ NATURE(Saida),1433.8568,342.7,,8g,"1,57g",33g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRÉSIDENT À TARTINER - RONDELÉ AIL ET FINES HERBES(Saida),1466.61752,350.53,,8g,"1,3g",33g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRÉSIDENT À TARTINER - RONDELÉ POIVRE(Saida),1466.61752,350.53,,8g,"1,3g",33g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRÉSIDENT À TARTINER - LA FONDUE(Saida),1096.6264,262.1,,"9,5g","4,5g","22,9g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRÉSIDENT À LA COUPE(Saida),1220.43096,291.69,,18g,"3,69g",24g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRÉSIDENT POUR ENFANTS - CROC'LAIT (Saida),1433.8568,342.7,,8g,"1,75g",33g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRÉSIDENT POUR ENFANTS - GOÛTER(Saida),1096.6264,262.1,,"9,5g","4,5g","22,9g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LES TRIANGLES FROMY PLUS(Saida),983.24,235,,9g,7g,19g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LES SLICES FROMY - A LA MOZZARELLA(Saida),1004.9968,240.2,,15g,5g,"17,8g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LES SLICES FROMY - AU CHEDDAR(Saida),1004.9968,240.2,,15g,"3,5g","17,8g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROMY PLUS À TARTINER - TARTINE ENRICHIE(Délice),1100.392,263,,"9,5g","4,5g",23g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROMY PLUS À TARTINER - TARTINE LIGHT(Saida),598.312,143,,"10,5g",5g,9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROMY PLUS À TARTINER - GOUTELA(Saida),824.248,197,,"5,5g","3,3g",18g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROMY PLUS À TARTINER - GOUTELA SEL RÉDUIT(Saida),887.008,212,,"5,5g",5g,18g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROMY À LA COUPE - FROMITO(Saida),1301.224,311,,18g,5g,"24,38g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DÉLIO - MANDARINE(Délice),124.6832,29.8,,0.38g,7g,0.12g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DÉLIO - ANANAS(Délice),121.67072,29.08,,0.75g,6.25g,< 0.01g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DÉLIO - APPLE(Délice),132.38176,31.64,,0.72g,7.1g,0.04g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DÉLIO - APPLE(Délice),130.913176,31.289,,0.61g,7.21g,0.01g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DÉLIO - MINT(Délice),136.908848,32.722,,0g,7.47g,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DÉLIO - PEACH(Délice),128.78352,30.78,,0.5g,7.06,0.06g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRUZZY STRAWBERRY RASPBERRY JUICE DRINK (Délice),203.8654,48.725,,<0.5g,11.9g,<0.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRUZZY P’TIT DÉJ - BOISSON AU JUS DE POMME BANANE ENRICHIE EN CÉRÉALES (Délice),183.807304,43.931,,0.5g,10.67g,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRUZZY TROPICAL JUICE DRINK (Délice),206.861144,49.441,,0.3g,11.9g,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRUZZY ORANGE JUICE DRINK (Délice),188.57288,45.07,,0.1g,11g,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRUZZY SOUR CANDY (Délice),216.85672,51.83,,0.21g,12.71g,<0.01g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRUZZY COTTON CANDY (Délice),208.861096,49.919,,0.34g,12.32g,<0.01g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUS DÉLICE DE FRUITS - STERILIZED PINEAPPLE JUICE DRINK (Délice),181.388952,43.353,,0.1g,10.5g,0.04g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02g,,,,,,,,,,,,,,,,,,,,,,,,,
JUS DÉLICE DE FRUITS - PEAR JUICE DRINK,207.86112,49.68,,0.6g,11.5g,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUS DÉLICE DE FRUITS - TROPICAL NECTAR(Délice),200.832,48,,0.62g,11.22g,0.09g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUS DÉLICE DE FRUITS - PEACH JUICE DRINK(Délice),206.861144,49.441,,0.7g,11.4g,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUS DÉLICE DE FRUITS - JUICE BEVERAGE ORANGE(Délice),216.85672,51.83,,<0.1g,11.6g,0.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUS DÉLICE DE FRUITS - MANGO NECTAR(Délice),203.8654,48.725,,0.6g,11.3g,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUS DÉLICE DE FRUITS - WHITE-FLESHED FRUIT(Délice) ,199.865496,47.769,,0.4g,10.2g,<0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUS DÉLICE DE FRUITS - MULTI-VITAMIN (Délice),199.865496,47.769,,0.7g,11.24g,0.01g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUS DÉLICE DE FRUITS -MOJITO LEMON & MINT (Délice),189.874104,45.381,,<0.1g,13g,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANAO (Délice),260.826376,62.339,,0.4g,10g,0g,6.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MELTED TRIANGLE CHEESE (Délice),1109.257896,265.119,,10g,,2.5g,5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQUARE MON CARRÉ (Délice),1342.10168,320.77,,9.5g,,2.5g,5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MELTED GRATED CHEESE WITH GRUYÈRE FLAVOUR (Délice),989.838168,236.577,,1.5g,,24.5g,3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANINO (Délice),479.080552,114.503,,7.4g,3.5g,13.4g,9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOUTTA (Délice),709.526904,169.581,,6.18g,,15g,2.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARTI'FRAIS (Délice),899.396824,214.961,,7.18g,,18.5g,5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UHT SKIMMED MILK (Délice),129.704,31,,3g,,<0.1g,4.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UHT SEMI SKIMMED MILK,182.004,43.5,,3g,4.5g,1.5g,4.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UHT WHOLE MILK (Délice),238.488,57,,3g,4.5g,1.5,4.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UHT SEMI SKIMMED MILK FORTIFIED WITH VITAMINS (Délice),182.004,43.5,,3g,4.5g,1.5g,4.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAKE UP BOISSON LACTÉE AU GOÛT DE CHOCOLAT (Délice),352.7112,84.3,,1.2g,13.8g,2.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAITGO (Délice),251.04,60,,1.6g,11.8g,0.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DÉLISO 10 VITAMINES VANILLA FLAVORED MILK (Délice),73.97312,17.68,,1g,14g,1.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DÉLISO 10 VITAMINES STRAWBERRY FLAVORED MILK (Délice),59.99856,14.34,,1.6g,11.8g,0.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DÉLISO 10 VITAMINES CHOCOLATE FLAVORED MILK (Délice),58.9944,14.1,,1.4g,11.8g,0.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DÉLISHAKE CHOCOLATE HAZELNUT (Délice),339.7408,81.2,,2.42g,13.13g,1.99g,,,,,,,,,,,,,,,1.22g,,,,,,,,,,,,,,,,,,0.081g,,,,,,,,,,,,,,,,,,,,,,,,,
BANANA DÉLISHAKE (Délice),343.088,82,,2g,12.8g,,11.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,
CHOCOLATE DÉLISHAKE (Délice),313.8,75,,2g,12.1g,1.9g,10.9g,,,,,,,,,,,,,,1.3g,,,,,,,,,,,,,,,,,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,
VANILLA DÉLISHAKE (Délice),343.088,82,,2g,12.8g,2.5g,11.6g,,,,,,,,,,,,,,1.7g,,,,,,,,,,,,,,,,,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,
LBEN (Délice),234.843736,56.129,,3.1g,5.5g,2.4g,5.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,
RAIEB (Délice),150.624,36,,2.7g,4.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMI-THICK UHT STERILIZED CREAM (Délice),1287.140656,307.634,,1.8g,1.8g,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UHT 30% SUPERIOR CREAM - LIQUID CREAM (Délice),1221.728,292,,2.3g,3.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASTEURISED FRESH CREAM (Délice),1221.728,292,,2.3g,3.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
